,Team 1,Team 1 Label,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Free and Reduced Lunch,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Expenditures/Pupil,MV,Total Games,Total Wins,Win Percentage
422652,Zuni,17409,99.7,0.0,0.3,0.0,0.0,0.0,0.0,337.0,337.0,1.0,12.51,0,1,19435,-8.130434782608695,23,8,34.8
422675,Volcano Vista,17410,3.1,1.5,66.4,2.0,22.3,0.1,4.5,2251.0,2251.0,0.288,19.25,0,1,14476,26.933333333333334,30,29,96.7
422705,Encampment,17411,0.0,0.0,5.4,0.9,91.1,0.0,2.7,112.0,38.0,0.286,5.79,0,1,28534,5.0,16,7,43.8
422721,Douglas,17412,0.8,0.2,11.3,1.0,85.8,0.0,1.0,513.0,513.0,0.23,13.38,0,1,22667,18.464285714285715,28,24,85.7
422749,Dubois,17413,2.1,2.1,6.4,0.0,87.2,2.1,0.0,47.0,47.0,0.234,7.69,0,1,34176,27.76,25,22,88.0
422774,Arvada-Clearmont,17414,0.0,0.0,6.2,0.0,91.7,0.0,2.1,96.0,32.0,0.24,6.43,0,1,55767,-36.72222222222222,18,0,0.0
422792,Farson-Eden,17415,0.0,0.0,3.9,0.0,92.2,0.0,3.9,51.0,51.0,0.196,9.12,0,1,19891,-0.6956521739130435,23,11,47.8
422815,Buffalo,17416,0.3,0.0,4.7,0.9,91.8,0.3,2.0,343.0,343.0,0.163,14.47,0,1,23063,5.142857142857143,28,19,67.9
422843,Cokeville,17417,0.0,0.0,0.9,0.0,97.2,1.9,0.0,106.0,67.0,0.17,12.25,0,1,18252,-9.08695652173913,23,7,30.4
422866,Burns,17418,0.3,1.0,14.0,0.6,83.1,0.0,1.0,314.0,207.0,0.248,12.31,0,1,22204,-0.4583333333333333,24,9,37.5
422890,Big Piney,17419,1.3,0.0,13.9,0.7,80.8,0.0,3.3,151.0,151.0,0.086,11.5,0,1,28760,-5.291666666666667,24,10,41.699999999999996
422914,Cody,17420,0.8,0.8,2.9,0.2,92.8,0.0,2.5,612.0,612.0,0.193,14.55,0,1,20344,-7.666666666666667,22,6,27.3
422936,Burlington,17421,,,,,,,,,,,,0,0,,1.1923076923076923,26,11,42.3
422962,Big Horn,17422,0.7,0.0,0.0,0.0,94.5,0.7,4.1,146.0,146.0,0.062,11.04,0,1,16108,5.153846153846154,26,16,61.5
422988,Campbell County,17423,1.7,1.2,14.9,1.5,79.9,0.2,0.6,1152.0,1152.0,0.286,16.06,0,1,19026,-15.681818181818182,22,3,13.600000000000001
423010,East,17424,0.7,1.1,17.9,1.9,74.2,0.3,3.9,1557.0,1557.0,0.163,15.6,0,1,19189,8.25,28,22,78.60000000000001
423038,Central,17425,0.8,1.9,11.7,1.3,80.7,0.1,3.6,1241.0,1241.0,0.071,14.34,0,1,19189,9.166666666666666,24,14,58.3
423062,Evanston,17426,0.3,0.5,16.8,0.8,78.6,0.1,3.0,774.0,774.0,0.371,16.71,0,1,17926,-18.045454545454547,22,4,18.2
423084,Glenrock,17427,0.3,0.0,11.6,0.6,84.9,0.3,2.2,318.0,198.0,0.239,12.73,0,1,19561,-20.19047619047619,21,3,14.299999999999999
423105,Green River,17428,0.3,0.6,15.0,0.1,81.9,0.0,2.1,702.0,702.0,0.124,16.19,0,1,19465,2.909090909090909,22,14,63.6
423127,HEM,17429,,,,,,,,,,,,0,0,,-22.833333333333332,18,2,11.1
423145,Guernsey-Sunrise,17430,,,,,,,,,,,,0,0,,7.714285714285714,21,13,61.9
423166,Hot Springs County,17431,0.9,0.0,5.8,0.4,89.7,0.9,2.2,223.0,223.0,0.305,13.36,0,1,20351,-2.2962962962962963,27,11,40.699999999999996
423193,Greybull,17432,0.7,0.7,20.9,0.0,75.8,0.0,2.0,153.0,153.0,0.438,9.27,0,1,23050,1.64,25,13,52.0
423218,Hulett,17433,0.6,0.0,0.6,0.0,97.6,0.0,1.2,168.0,68.0,0.417,8.58,0,1,21052,-3.0,25,12,48.0
423243,Kelly Walsh,17434,0.8,1.9,13.1,1.1,80.3,0.1,2.7,2017.0,2017.0,0.311,15.71,0,1,18399,12.857142857142858,28,22,78.60000000000001
423271,Jackson Hole,17435,0.4,1.8,35.0,0.1,61.5,0.0,1.3,794.0,794.0,0.086,13.23,0,1,23882,0.5714285714285714,21,9,42.9
423292,Little Snake River,17436,,,,,,,,,,,,0,0,,-4.75,20,9,45.0
423312,Laramie,17437,1.5,1.9,19.2,1.2,72.7,0.2,3.3,1092.0,1092.0,0.103,15.07,0,1,19601,-4.739130434782608,23,10,43.5
423335,Kaycee,17438,3.8,0.0,11.3,0.0,84.9,0.0,0.0,106.0,47.0,0.302,6.21,0,1,23063,3.090909090909091,22,10,45.5
423357,Lyman,17439,0.4,1.3,7.0,0.4,90.0,0.0,0.9,230.0,230.0,0.161,14.06,0,1,19716,3.8275862068965516,30,16,53.300000000000004
423387,Lovell,17440,1.4,0.9,11.8,0.0,85.0,0.0,0.9,220.0,220.0,0.182,13.18,0,1,20821,-11.428571428571429,21,6,28.599999999999998
423408,Kemmerer,17441,,,,,,,,,,,,0,0,,3.3846153846153846,27,13,48.1
423435,Lander Valley,17442,12.9,1.0,6.1,0.7,71.4,0.2,7.7,574.0,574.0,0.235,16.07,0,1,19903,-3.5652173913043477,23,10,43.5
423458,Meeteetse,17443,0.0,0.0,4.2,4.2,91.6,0.0,0.0,95.0,31.0,0.474,6.23,0,1,23102,2.619047619047619,21,10,47.599999999999994
423479,Lingle-Fort Laramie,17444,2.3,0.0,5.7,0.0,89.8,0.0,2.3,88.0,88.0,0.148,8.62,0,1,22560,-3.740740740740741,27,12,44.4
423506,Midwest,17445,2.7,0.0,16.2,0.0,78.4,0.0,2.7,148.0,56.0,0.682,10.31,0,1,18399,-25.333333333333332,18,4,22.2
423524,Natrona County,17446,1.0,0.2,13.6,1.2,80.3,0.2,3.5,1807.0,1807.0,0.361,16.38,0,1,18399,-5.655172413793103,29,12,41.4
423553,Mountain View,17447,0.4,0.0,3.7,0.0,95.1,0.0,0.8,246.0,246.0,0.126,12.16,0,1,18732,-2.269230769230769,26,11,42.3
423579,Moorcroft,17448,1.6,1.1,2.7,0.0,93.4,0.0,1.1,182.0,182.0,0.357,12.13,0,1,21052,-13.72,25,7,28.000000000000004
423604,Pinedale,17449,1.2,1.2,8.8,0.3,85.9,0.0,2.5,320.0,320.0,0.031,14.14,0,1,21549,-19.0,24,0,0.0
423628,Pine Bluffs,17450,1.1,0.5,22.2,0.0,73.5,0.0,2.7,185.0,123.0,0.346,10.48,0,1,22204,22.11111111111111,27,24,88.9
423655,Powell,17451,0.5,0.7,10.1,0.9,83.9,0.0,3.8,573.0,573.0,0.246,16.27,0,1,18625,3.740740740740741,31,15,48.4
423686,Riverside,17452,0.0,0.0,17.4,0.8,80.3,0.0,1.5,132.0,79.0,0.288,6.98,0,1,40831,-16.0,23,2,8.7
423709,Riverton,17453,20.5,0.5,12.0,0.1,58.5,0.0,8.3,735.0,735.0,0.307,16.37,0,1,23181,7.555555555555555,27,21,77.8
423736,Rock River,17454,3.3,3.3,6.7,0.0,86.7,0.0,0.0,30.0,30.0,0.267,3.86,0,1,19601,-22.941176470588236,17,2,11.799999999999999
423753,Saratoga,17455,,,,,,,,,,,,0,0,,8.45,20,14,70.0
423773,Newcastle,17456,1.7,0.8,0.8,0.0,92.8,0.0,3.8,237.0,237.0,0.093,11.35,0,1,20256,-10.904761904761905,21,6,28.599999999999998
423794,Rocky Mountain,17457,1.3,0.0,10.7,0.3,84.8,0.0,2.9,382.0,382.0,0.141,18.43,0,1,12850,1.9615384615384615,26,17,65.4
423820,Niobrara County,17458,1.0,1.0,12.4,0.3,84.7,0.0,0.6,314.0,314.0,0.185,10.71,0,1,10091,-7.2272727272727275,22,8,36.4
423842,Southeast,17459,0.0,1.4,1.4,0.0,95.7,0.0,1.4,70.0,70.0,0.171,7.71,0,1,22560,-7.703703703703703,27,13,48.1
423869,Rock Springs,17460,,,,,,,,,,,,0,0,,-10.035714285714286,28,5,17.9
423897,St. Stephens,17461,,,,,,,,,,,,0,0,,-2.1666666666666665,24,12,50.0
423921,Rawlins,17462,0.0,1.7,38.2,1.2,56.4,0.0,2.6,422.0,422.0,0.114,13.53,0,1,20893,14.538461538461538,26,23,88.5
423947,Ten Sleep,17463,0.0,0.0,5.6,0.0,92.6,0.0,1.9,108.0,26.0,0.25,6.97,0,1,33625,-13.266666666666667,15,5,33.300000000000004
423962,Wind River,17464,11.1,0.0,11.1,0.0,66.7,0.0,11.1,9.0,9.0,0.556,7.5,0,1,26294,13.038461538461538,26,19,73.1
423988,Sundance,17465,2.2,0.0,2.7,0.5,93.0,0.0,1.6,185.0,124.0,0.135,9.96,0,1,21052,3.92,25,13,52.0
424013,Shoshoni,17466,2.7,0.9,9.7,1.8,81.4,0.0,3.5,113.0,113.0,0.0,10.33,0,1,22785,2.074074074074074,27,13,48.1
424040,Upton,17467,0.0,0.0,1.3,1.3,94.7,0.0,2.6,76.0,76.0,0.237,6.79,0,1,29351,38.18518518518518,27,26,96.3
424067,Thunder Basin,17468,1.3,0.8,8.2,1.0,87.5,0.3,0.8,1180.0,1180.0,0.208,16.86,0,1,19026,17.40740740740741,27,24,88.9
424094,Star Valley,17469,0.3,0.2,5.0,0.5,92.1,0.1,1.7,862.0,862.0,0.142,18.53,0,1,18252,2.769230769230769,26,13,50.0
424120,Sheridan,17470,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,1.0,0,1,†,9.25925925925926,27,19,70.39999999999999
424147,South,17471,1.3,1.0,34.0,3.0,57.0,0.2,3.4,1228.0,1228.0,0.305,14.4,0,1,19189,-0.13043478260869565,23,10,43.5
424170,Torrington,17472,0.6,0.0,14.8,0.9,79.4,0.0,4.2,330.0,330.0,0.312,12.72,0,1,22560,-10.333333333333334,24,7,29.2
424194,Wright,17473,3.1,0.0,12.4,0.0,82.5,0.0,2.1,194.0,130.0,0.273,10.5,0,1,19026,-1.6551724137931034,29,15,51.7
424223,Tongue River,17474,6.0,0.0,0.0,1.0,88.0,0.0,5.0,200.0,200.0,0.24,13.7,0,1,16108,16.571428571428573,28,24,85.7
424251,Wheatland,17475,,,,,,,,,,,,0,0,,-0.4166666666666667,24,8,33.300000000000004
424275,Wyoming Indian,17476,98.0,0.0,1.0,0.0,0.5,0.0,0.5,204.0,204.0,0.721,8.87,0,1,33186,-1.6842105263157894,19,8,42.1
424294,Worland,17477,1.0,0.5,24.9,0.0,71.4,0.2,2.0,405.0,405.0,0.309,12.93,0,1,20652,16.413793103448278,29,26,89.7
424323,Alliance,17478,0.2,0.4,3.3,11.2,71.0,0.1,13.8,968.0,968.0,0.0,18.62,0,1,14213,7.523809523809524,21,16,76.2
424344,Anthony Wayne,17479,0.2,1.7,0.7,1.5,94.8,0.1,1.1,1323.0,1323.0,0.0,25.94,0,1,12729,-4.36,27,11,40.699999999999996
424371,Andrews Osborne Academy,17480,,,,,,,,,,,,0,0,,13.375,24,14,58.3
424395,Adams County Christian,17481,0.0,0.0,3.3,0.0,96.7,0.0,0.0,122.0,35.0,,8.97,1,1,,-14.571428571428571,7,1,14.299999999999999
424402,Academy for Urban Scholars,17482,0.0,0.0,10.2,74.2,7.6,0.0,8.1,236.0,236.0,0.0,42.91,1,1,12638,-9.588235294117647,20,5,25.0
424422,Adena,17483,0.0,0.0,2.2,0.9,92.9,0.0,4.0,323.0,323.0,0.0,20.19,0,1,12512,-9.842105263157896,19,5,26.3
424441,Ada,17484,,,,,,,,,,,,0,0,,-17.52173913043478,23,4,17.4
424464,Allen East,17485,0.0,0.0,2.3,0.3,95.7,0.0,1.7,301.0,300.0,0.0,16.72,0,1,10885,3.4166666666666665,24,14,58.3
424488,Anna,17486,0.0,0.3,1.6,0.3,96.8,0.0,1.0,311.0,311.0,0.0,14.66,0,1,15824,-0.5909090909090909,22,8,36.4
424510,Africentric Early College,17487,0.0,0.0,1.4,94.9,0.9,0.0,2.9,350.0,350.0,0.0,19.44,0,1,20819,16.166666666666668,30,24,80.0
424540,Amanda-Clearcreek,17488,0.0,0.2,1.0,0.5,97.3,0.0,1.0,402.0,402.0,0.0,17.87,0,1,14473,-3.32,26,9,34.599999999999994
424566,Aiken,17489,0.1,2.6,11.5,76.4,4.8,0.0,4.7,1093.0,740.0,0.0,18.07,0,1,20765,-14.285714285714286,25,5,20.0
424591,Alexander,17490,0.0,0.0,0.5,0.5,97.7,0.0,1.3,776.0,408.0,0.0,15.22,0,1,14718,1.0869565217391304,25,14,56.00000000000001
424616,Anderson,17491,0.0,3.0,3.3,2.2,86.3,0.1,5.1,1226.0,1226.0,0.0,17.19,0,1,13359,-2.1363636363636362,27,11,40.699999999999996
424643,Ansonia,17492,0.0,0.0,2.6,0.0,97.4,0.0,0.0,195.0,195.0,0.0,8.63,0,1,13313,-5.454545454545454,24,8,33.300000000000004
424667,Antwerp,17493,0.0,1.1,4.6,0.0,90.2,0.0,4.0,174.0,174.0,0.0,10.24,0,1,13851,27.464285714285715,28,26,92.9
424695,Arcadia,17494,0.0,0.0,9.8,1.1,85.2,0.0,3.8,183.0,183.0,0.0,10.61,0,1,17491,-24.333333333333332,24,3,12.5
424719,Aquinas,17495,0.3,0.9,9.0,33.8,46.3,0.0,9.6,322.0,162.0,,12.88,1,1,,7.185185185185185,28,16,57.099999999999994
424747,Archbishop McNicholas,17496,0.0,1.4,0.4,1.4,95.0,0.0,1.8,501.0,501.0,,10.31,1,1,,-4.44,26,10,38.5
424773,Archbishop Moeller,17497,0.0,1.0,2.4,5.9,86.0,0.0,4.6,865.0,865.0,,11.72,1,1,,9.125,25,18,72.0
424798,Archbishop Hoban,17498,0.2,3.8,1.9,15.9,74.9,0.0,3.2,805.0,805.0,,13.64,1,1,,10.821428571428571,28,20,71.39999999999999
424826,Archbishop Alter,17499,,,,,,,,,,,,0,0,,19.689655172413794,29,26,89.7
424855,Arcanum,17500,,,,,,,,,,,,0,0,,2.7916666666666665,27,15,55.60000000000001
424882,Archbold,17501,0.6,1.1,15.3,1.4,79.7,0.0,1.9,359.0,359.0,0.0,17.97,0,1,13368,6.565217391304348,24,15,62.5
424906,Austintown-Fitch,17502,0.4,0.5,5.7,12.2,76.5,0.2,4.6,1229.0,1229.0,0.0,16.08,0,1,11908,-4.291666666666667,24,8,33.300000000000004
424930,Arlington,17503,0.0,0.0,2.5,0.4,95.0,0.0,2.1,239.0,161.0,0.0,11.95,0,1,13572,3.75,26,13,50.0
424956,Ashland,17504,0.1,1.1,3.1,0.8,90.9,0.1,3.8,889.0,889.0,0.0,19.47,0,1,13199,1.7391304347826086,25,13,52.0
424981,Athens,17505,0.0,4.6,3.4,2.9,83.3,0.0,5.8,713.0,713.0,0.0,18.28,0,1,27002,-3.5652173913043477,23,8,34.8
425004,Avon Lake,17506,0.1,1.9,3.9,1.6,90.1,0.2,2.4,1217.0,1217.0,0.0,18.67,0,1,13961,-1.2272727272727273,23,8,34.8
425027,Ayersville,17507,0.3,1.2,9.5,0.3,86.4,0.0,2.4,338.0,216.0,0.0,17.42,0,1,14923,8.208333333333334,24,18,75.0
425051,Badger,17508,0.0,0.5,3.0,0.5,93.4,0.0,2.5,197.0,197.0,0.0,17.43,0,1,14995,-3.64,25,12,48.0
425076,Avon,17509,0.0,3.8,7.3,2.3,81.9,0.1,4.7,1497.0,1497.0,0.0,24.0,0,1,13032,-6.714285714285714,23,4,17.4
425099,Aurora,17510,0.0,6.8,4.2,4.8,82.0,0.0,2.2,972.0,972.0,0.0,16.49,0,1,14543,-0.8333333333333334,24,12,50.0
425123,Barberton,17511,0.2,0.5,2.9,14.0,75.4,0.1,6.9,1264.0,1264.0,0.0,18.87,0,1,16664,-11.045454545454545,22,7,31.8
425145,Bard Early College,17512,1.2,3.0,34.3,31.6,24.2,0.5,5.2,405.0,405.0,0.0,14.46,0,1,26845,1.9,10,4,40.0
425155,Badin,17513,0.0,2.7,1.1,1.9,90.2,0.0,4.0,623.0,623.0,,12.26,1,1,,-8.608695652173912,24,7,29.2
425179,Barnesville,17514,0.3,0.3,0.3,0.0,95.2,0.0,4.0,396.0,396.0,0.0,19.24,0,1,11768,1.1304347826086956,24,11,45.800000000000004
425203,Bay,17515,0.0,0.9,3.4,1.4,92.2,0.0,2.1,793.0,793.0,0.0,15.77,0,1,15703,-4.523809523809524,25,7,28.000000000000004
