,Team 1,Team 1 Label,num boys Sports,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Private School,MV,Total Games,Total Wins,Win Percentage
10534,North Penn,10535,13.0,0.0,26.2,3.6,9.1,61.1,0.0,0.0,355.0,61.0,10.74,1,1,1.0,1.8333333333333333,18,9,50.0
10550,Northumberland Christian,10551,4.0,0.0,1.2,1.2,4.0,93.7,0.0,0.0,276.0,66.0,12.23,1,1,1.0,6.285714285714286,23,15,65.2
10554,Northgate,10555,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.0,2.0,0.89,1,1,1.0,3.272727272727273,22,11,50.0
10559,Notre Dame,10560,7.0,0.0,6.4,10.4,8.2,60.4,0.4,14.3,280.0,206.0,11.67,1,1,1.0,14.083333333333334,24,17,70.8
10560,Notre Dame-Green Pond,10561,10.0,0.2,12.8,6.4,2.2,73.5,0.0,4.8,498.0,498.0,12.8,1,1,1.0,14.733333333333333,31,20,64.5
10575,Our Lady of the Sacred Heart,10576,7.0,0.0,21.0,13.9,42.4,16.6,1.0,5.1,295.0,295.0,10.73,1,1,1.0,32.22222222222222,27,27,100.0
10594,Perkiomen School,10595,9.0,0.0,33.9,2.1,6.1,52.4,0.0,5.4,330.0,276.0,8.09,1,1,1.0,-6.444444444444445,15,3,20.0
10598,Phelps,10599,8.0,0.0,0.0,11.3,47.2,41.5,0.0,0.0,53.0,41.0,7.57,1,1,1.0,5.375,11,6,54.50000000000001
10603,Philadelphia Montgomery Christian Academy,10604,5.0,0.0,13.4,7.5,46.6,30.0,0.0,2.4,253.0,105.0,8.21,1,1,1.0,6.04,25,17,68.0
10620,Portersville Christian,10621,3.0,0.0,1.4,0.0,2.4,95.7,0.0,0.5,209.0,76.0,8.86,1,1,1.0,1.2432432432432432,37,19,51.4
10627,Quakertown Christian,10628,,0.0,3.3,6.6,4.6,84.1,0.0,1.3,151.0,20.0,9.38,1,1,1.0,-8.75,12,2,16.7
10631,Red Lion Christian,10632,6.0,0.0,0.0,0.5,3.2,94.2,1.0,1.0,240.0,38.0,12.67,1,1,1.0,-10.4,15,4,26.700000000000003
10648,Roberto Clemente Charter School,10649,1.0,0.0,8.3,15.7,6.3,68.6,0.2,0.9,650.0,650.0,14.84,1,1,1.0,5.05,20,10,50.0
10652,Roman Catholic,10653,10.0,0.1,5.8,7.4,25.5,56.2,0.1,4.9,813.0,813.0,20.33,1,1,1.0,15.892857142857142,28,24,85.7
10654,Salem Christian,10655,5.0,0.0,3.7,6.1,4.9,85.4,0.0,0.0,175.0,68.0,7.45,1,1,1.0,-17.85,21,2,9.5
10656,Saint Joseph's Catholic Academy,10657,8.0,0.0,1.6,0.0,0.0,96.9,0.0,1.6,128.0,128.0,8.83,1,1,1.0,-9.142857142857142,22,7,31.8
10665,Scotland Campus,10666,4.0,0.0,88.6,0.0,0.0,11.4,0.0,0.0,166.0,162.0,3.32,1,1,1.0,0.0666666666666666,21,7,33.300000000000004
10669,Sewickley Academy,10670,9.0,0.0,17.0,2.4,5.6,70.7,0.0,4.3,594.0,258.0,6.85,1,1,1.0,-14.5625,16,3,18.8
10670,Seton LaSalle,10671,10.0,0.3,7.7,2.3,7.4,79.7,0.0,2.6,390.0,390.0,11.68,1,1,1.0,13.954545454545457,23,18,78.3
10671,Shady Side Academy,10672,10.0,0.0,18.4,1.0,7.0,62.3,0.1,11.2,1007.0,427.0,7.46,1,1,1.0,21.115384615384617,26,20,76.9
10672,Scranton Prep,10673,11.0,0.0,1.5,1.2,2.1,93.8,0.0,1.5,676.0,676.0,14.2,1,1,1.0,5.2727272727272725,23,13,56.49999999999999
10676,Serra Catholic,10677,8.0,0.0,1.0,1.0,7.9,90.1,0.0,0.0,303.0,303.0,12.47,1,1,1.0,1.4545454545454546,22,11,50.0
10686,Shipley,10687,6.0,0.0,4.7,2.5,7.6,80.2,0.1,4.9,827.0,417.0,6.22,1,1,1.0,-5.428571428571429,21,7,33.300000000000004
10695,Solebury,10696,8.0,0.0,3.7,7.8,10.1,77.1,0.0,1.4,218.0,218.0,4.55,1,1,1.0,10.555555555555555,27,20,74.1
10711,Springfield Township,10712,10.0,0.0,13.4,7.5,46.6,30.0,0.0,2.4,253.0,105.0,8.21,1,1,1.0,-1.4285714285714286,21,10,47.6
10712,St. Joseph's Prep,10713,11.0,0.0,3.4,1.9,6.5,83.4,0.1,4.7,902.0,902.0,12.46,1,1,1.0,-2.7777777777777777,18,6,33.300000000000004
10713,Springside Chestnut Hill Academy,10714,8.0,0.2,6.4,2.7,16.0,68.0,0.3,6.3,1057.0,504.0,8.31,1,1,1.0,4.958333333333333,24,15,62.5
10714,St. Joseph,10715,8.0,0.0,4.6,0.0,1.3,92.0,0.0,2.0,151.0,151.0,10.56,1,1,1.0,-3.590909090909091,22,10,45.5
10743,Trinity,10744,9.0,0.0,7.6,2.9,3.7,82.4,0.0,3.3,484.0,484.0,12.74,1,1,1.0,9.26923076923077,26,19,73.1
10748,Tunkhannock,10749,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.0,12.0,33.0,1,1,1.0,-1.3478260869565215,27,11,40.7
10757,Upper Bucks Christian,10758,,0.0,9.4,9.4,4.7,73.8,0.0,2.6,205.0,62.0,8.3,1,1,1.0,7.727272727272727,17,7,41.2
10758,Upper Darby,10759,10.0,0.3,3.0,0.1,41.7,50.8,0.0,4.1,775.0,775.0,19.0,1,1,1.0,-4.65,20,7,35.0
10765,Upper Perkiomen,10766,9.0,0.0,0.0,0.0,14.3,85.7,0.0,0.0,7.0,2.0,3.5,1,1,1.0,-11.36842105263158,21,3,14.3
